 ,,,,,
,貼紙,乳癌或疑陽病灶手術自費項目清單  ,,,
,,住院時請交給專科護理師，依品項簽署院內正式自費同意書 ,,非正式醫療文件請勿歸檔,
,名稱 ,中文名稱 ,院內代碼,院內定價,勾選
,前哨淋巴精準定位 ,,,,
,Lymphscintigraphy,前哨淋巴掃描,000TP144,"3,463",□
,Patent Blue,拍得藍注射液,PAT1PC03,"2,125",□
,Diagnogreen,循血綠注射劑,DIA1PA22,"2,125",□
,SPY-PHI Drape,手持攝影頭滅菌套,20509712,"2,160",□
, SPY-PHI Stryker,螢光顯影開機費,0YHB1009,"20,000",□
,,,,,
,術中使用,,,,
,Plasma Blade ,低溫電漿手術刀,20325608,"17,550",□
,SURGIFLO*註1,止血劑,20452030,"24,440",□
,Wound Retractor *註2,傷口撐開 / 保護器  腹壁牽引器 ,20437224,"2,180",□
,Collagen Dressing* 註3,膠原蛋白敷料 (癒立安) ,20452396,"22,750",□
,,,,,
,        註1:止血劑可減少術後腫脹、減少引流量，腋下淋巴廓清及大範圍切除患者可考慮使用,,,,
,        註2:傷口保護器可在術中保護傷口，不受器械及電燒傷害，傷口會漂亮很多,,,,
,        註3:膠原蛋白用於填塞切除後之空腔，可加速內部傷口復原，可望有較佳的外觀,,,,
,,,,,
,術後照護用品 ,,,,
,Gen Tek Carefix,術後衣,20449990,"8,515",□
,"台灣富盛得術後衣
(依個人體型選用)","壓迫緊密但拆裝容易，返家後可重覆使用
(加贈一條腋下加壓帶。)",無院內碼,"2,800",□
,芙爾摩莎超薄彈力膜,術後衣,無院內碼,"2,200",□
,SurgiSeal,速近傷口黏膠劑,20471332,"6,760",□
,TissueAid,高黏度組織黏著劑 ,20471326,"3,227",□
,,,,,
,內視鏡乳房手術,,,,
,Trocar(5mm),安德派思腹腔鏡套管,20220080,"1,138",□
,Trocar(12mm),安德派思腹腔鏡套管,20220079,"1,208",□
,Laparoscopy ,內視鏡使用費,28014C00,"5,959",□
,NELIS Glove Port,內視鏡用端口,20437242,"26,000",□
,Suction Irrigation,內視鏡用沖吸管組,20219907,"2,470",□
, LigaSure Maryland,利嘉修爾鉗口閉合器,20445100,"29,025",□
,,,,,
,乳房微創手術,,,,
,"""SenoRx"" EnCor Biopsy Probe",安可兒切片探針(含附件) ,20281007,15525,□
,,,,,
,整形式乳房手術 ,,,,
,Oncoplasty Surgery,整形式乳頭提升,000B4348,"18,000",□
,,疤痕重整 (特小),000B4355,"5,000",□
,,疤痕重整 (超大),000B4357,"20,000",□
,Breast Reconstruction,乳房重建技術費,0YHB1003,"50,000",□
,Tissue Expander*註4,光滑面組織擴張器,20381010,"14,598",□
,        註4: 用於橋接二階段重建，可先進行後續療程，完成治療再進行完整重建手術,,,,
,,,,,
,基因檢測 ,,,,
,NGS for Hereditary Breast Cancer Associated Gene,次世代定序遺傳性基因變異檢測 ,000X0230,"30,000",□
,"Oncotype Dx
(FoundationOne CDx)","安可待乳癌腫瘤基因檢測
(全方位癌症基因組織檢測)",無院內碼,約17萬,□
,,,,,
,特殊術式–疑陽個案切片,,,,
,MG-guided needle localization,乳房攝影導引病灶細針定位,000M2E21,"4,200",□
,MRI-guided needle localization,磁振造影導引乳房細針定位,000M4011,"16,000",□
